iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,1376776.600634034,tonnes,annual,2023-10-06 00:00:00,
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,3135669.81278889,tonnes,annual,2023-10-06 00:00:00,
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,5588.32285691726,tonnes,annual,2023-10-06 00:00:00,
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,144.882444410051,tonnes,annual,2023-10-06 00:00:00,
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,3327225.1018209835,tonnes,annual,2023-10-06 00:00:00,
CIV,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,3626759.2069517486,tonnes,annual,2023-10-06 00:00:00,
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,2246266.06599805,tonnes,annual,2023-10-06 00:00:00,
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,4003.24650203612,tonnes,annual,2023-10-06 00:00:00,
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,103.787878484825,tonnes,annual,2023-10-06 00:00:00,
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,2383488.4616797897,tonnes,annual,2023-10-06 00:00:00,
CMR,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,2598062.4741889257,tonnes,annual,2023-10-06 00:00:00,
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,5593792.570289,tonnes,annual,2023-10-06 00:00:00,
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,9969.1358264167,tonnes,annual,2023-10-06 00:00:00,
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,258.459091930842,tonnes,annual,2023-10-06 00:00:00,
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,5935512.3968646545,tonnes,annual,2023-10-06 00:00:00,
COD,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,6469858.077160588,tonnes,annual,2023-10-06 00:00:00,
COG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,6.99770425655077,tonnes,annual,2023-10-06 00:00:00,
COG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,160702.2792508602,tonnes,annual,2023-10-06 00:00:00,
COG,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,175169.53076875908,tonnes,annual,2023-10-06 00:00:00,
COK,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,10.42746354,tonnes,annual,2023-10-06 00:00:00,
COK,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,n2o,0.000481796735,tonnes,annual,2023-10-06 00:00:00,
COK,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,0.01858360622,tonnes,annual,2023-10-06 00:00:00,
COK,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_100yr,11.064468137839,tonnes,annual,2023-10-06 00:00:00,
COK,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2e_20yr,12.060549431231,tonnes,annual,2023-10-06 00:00:00,
COL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,ch4,11766.23639858,tonnes,annual,2023-10-06 00:00:00,
COL,2019-01-01 00:00:00,2019-12-31 00:00:00,cropland-fires,co2,6602166.40853924,tonnes,annual,2023-10-06 00:00:00,
BRN,2017-01-01 00:00:00,2017-12-31 00:00:00,cropland-fires,co2e_100yr,4437.473766000617,tonnes,annual,2023-10-06 00:00:00,
